"Name () (71c)","Pos () (71c)","Team () (71c)","Injury () (71d)","Return Date () (71d)","Date Injured () (71d)"
"Jakob Poeltl","C","Toronto Raptors","Groin","Probable","2024-12-24"
"Kelly Olynyk","C","Toronto Raptors",,,
"Jonathan Mogbo","C","Toronto Raptors",,,
"Bruno Fernando","C","Toronto Raptors",,,
"Chris Boucher","C","Toronto Raptors",,,
"Ulrich Chomche","C","Toronto Raptors",,,
"Ochai Agbaji","PF","Toronto Raptors",,,
"Jonathan Mogbo","PF","Toronto Raptors",,,
"Chris Boucher","PF","Toronto Raptors",,,
"Scottie Barnes","PF","Toronto Raptors",,,
"RJ Barrett","PF","Toronto Raptors",,,
"Jamison Battle","PF","Toronto Raptors",,,
"Kelly Olynyk","PF","Toronto Raptors",,,
"Bruce Brown Jr.","PF","Toronto Raptors","Knee","Probable","2024-12-24"
"Ulrich Chomche","PF","Toronto Raptors",,,
"Scottie Barnes","PG","Toronto Raptors",,,
"Davion Mitchell","PG","Toronto Raptors",,,
"Jamal Shead","PG","Toronto Raptors","Knee","Probable","2024-12-24"
"RJ Barrett","PG","Toronto Raptors",,,
"Bruce Brown Jr.","PG","Toronto Raptors","Knee","Probable","2024-12-24"
"AJ Lawson","PG","Toronto Raptors",,,
"Immanuel Quickley","PG","Toronto Raptors","Elbow","Expected To Be Out Until At Least Jan 3","2024-12-15"
"RJ Barrett","SF","Toronto Raptors",,,
"Bruce Brown Jr.","SF","Toronto Raptors","Knee","Probable","2024-12-24"
"Jamison Battle","SF","Toronto Raptors",,,
"Ja'Kobe Walter","SF","Toronto Raptors",,,
"Ochai Agbaji","SF","Toronto Raptors",,,
"Gradey Dick","SF","Toronto Raptors",,,
"Scottie Barnes","SF","Toronto Raptors",,,
"Jonathan Mogbo","SF","Toronto Raptors",,,
"Garrett Temple","SF","Toronto Raptors",,,
"AJ Lawson","SF","Toronto Raptors",,,
"Gradey Dick","SG","Toronto Raptors",,,
"Ja'Kobe Walter","SG","Toronto Raptors",,,
"Davion Mitchell","SG","Toronto Raptors",,,
"Bruce Brown Jr.","SG","Toronto Raptors","Knee","Probable","2024-12-24"
"Ochai Agbaji","SG","Toronto Raptors",,,
"RJ Barrett","SG","Toronto Raptors",,,
"Garrett Temple","SG","Toronto Raptors",,,
"AJ Lawson","SG","Toronto Raptors",,,
"Immanuel Quickley","SG","Toronto Raptors","Elbow","Expected To Be Out Until At Least Jan 3","2024-12-15"
"Scottie Barnes","SG","Toronto Raptors",,,
